date,daily,trends,trends_COVID-19,trends_CORONA,trends_pol,trends_msk
"Feb 20, 2020",0.0,2,0,3,13,67
"Feb 21, 2020",0.0,34,4,41,53,67
"Feb 22, 2020",14.0,72,8,67,61,87
"Feb 23, 2020",62.0,100,12,100,59,100
"Feb 24, 2020",53.0,88,18,89,52,85
"Feb 25, 2020",97.0,73,12,66,41,62
"Feb 26, 2020",93.0,56,10,50,31,44
"Feb 27, 2020",78.0,48,8,38,28,40
"Feb 28, 2020",250.0,41,6,33,30,31
"Feb 29, 2020",238.0,42,8,32,36,36
"Mar 1, 2020",240.0,39,8,29,41,30
"Mar 2, 2020",561.0,40,12,27,34,26
"Mar 3, 2020",347.0,41,10,30,46,29
"Mar 4, 2020",466.0,61,14,44,56,26
"Mar 5, 2020",587.0,52,19,37,57,27
"Mar 6, 2020",769.0,55,23,39,62,34
"Mar 7, 2020",778.0,69,33,46,76,31
"Mar 8, 2020",1247.0,75,42,52,85,41
"Mar 9, 2020",1492.0,80,54,56,100,45
"Mar 10, 2020",1797.0,78,53,53,87,58
"Mar 11, 2020",977.0,77,56,54,78,59
"Mar 12, 2020",2313.0,75,76,47,89,64
"Mar 13, 2020",2651.0,65,66,42,80,60
"Mar 14, 2020",2547.0,64,61,38,75,68
"Mar 15, 2020",3497.0,67,78,41,74,61
"Mar 16, 2020",2823.0,60,69,35,59,57
"Mar 17, 2020",4000.0,55,73,34,58,54
"Mar 18, 2020",3526.0,54,73,33,62,60
"Mar 19, 2020",4207.0,57,68,30,47,63
"Mar 20, 2020",5322.0,57,76,29,60,67
"Mar 21, 2020",5986.0,59,73,30,52,62
"Mar 22, 2020",6557.0,59,67,29,56,64
"Mar 23, 2020",5560.0,48,69,23,43,51
"Mar 24, 2020",4789.0,45,66,23,52,45
"Mar 25, 2020",5249.0,42,72,22,46,55
"Mar 26, 2020",5210.0,42,93,21,39,55
"Mar 27, 2020",6153.0,43,100,21,38,51
"Mar 28, 2020",5959.0,43,78,19,34,66
"Mar 29, 2020",5974.0,41,61,19,37,58
"Mar 30, 2020",5217.0,36,68,16,32,44
"Mar 31, 2020",4050.0,33,72,15,27,50
"Apr 1, 2020",4053.0,31,76,14,26,47
"Apr 2, 2020",4782.0,29,70,14,24,44
"Apr 3, 2020",4668.0,35,88,14,25,51
"Apr 4, 2020",4585.0,45,71,14,23,63
"Apr 5, 2020",4805.0,43,68,15,27,66
"Apr 6, 2020",4316.0,30,62,12,24,49
"Apr 7, 2020",3599.0,29,70,12,24,48
"Apr 8, 2020",3039.0,28,61,11,16,49
"Apr 9, 2020",3836.0,29,59,12,16,50
"Apr 10, 2020",4204.0,28,63,11,16,44
"Apr 11, 2020",3951.0,27,57,10,19,53
"Apr 12, 2020",4694.0,30,54,11,19,47
"Apr 13, 2020",4092.0,30,61,12,19,53
"Apr 14, 2020",3153.0,28,60,10,17,49
"Apr 15, 2020",2972.0,25,65,9,16,44
"Apr 16, 2020",2667.0,24,58,9,17,47
"Apr 17, 2020",3786.0,26,65,9,17,40
"Apr 18, 2020",3493.0,38,49,9,15,54
"Apr 19, 2020",3491.0,34,58,9,20,58
"Apr 20, 2020",3047.0,23,60,8,16,46
